id,setting_type,font_color,background_color,font_size,font_weight,font_family,letter_spacing,line_spacing,word_spacing,text_alignment,is_auto_play_tts,bionic_reading,lists_with_bullets,wcag_compliant,score
40000990,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,89.9
40000991,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,33.7
40000992,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,79.5
40000993,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,28.6
40000994,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,88.0
40000995,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,93.7
40000996,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,14.2
40000997,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,88.2
40000998,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,92.3
40000999,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,73.1
40001000,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,67.0
40001001,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,90.2
40001002,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,1.7
40001003,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,87.1
40001004,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,93.0
40001005,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,56.2
40001006,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,85.8
40001007,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,88.3
40001008,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,60.0
40001009,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,71.8
40001010,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,98.4
40001011,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,87.6
40001012,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,53.2
40001013,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,81.3
40001014,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,83.0
40001015,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,37.9
40001016,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,85.3
40001017,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,84.1
40001018,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,79.7
40001019,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,90.1
40001020,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,73.7
40001021,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,63.1
40001022,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,90.9
40001023,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,84.7
40001024,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,98.7
40001025,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,75.3
40001026,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,95.4
40001027,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,81.7
40001028,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,21.1
40001029,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,99.9
40001030,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,74.1
40001031,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,84.3
40001032,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,65.5
40001033,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,98.6
40001034,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,99.1
40001035,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,87.8
40001036,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,69.2
40001037,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,27.9
40001038,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,68.5
40001039,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,74.0
40001040,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,52.3
40001041,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,19.4
40001042,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,75.6
40001043,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,88.8
40001044,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,88.2
40001045,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,4.0
40001046,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,43.9
40001047,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,89.4
40001048,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,83.1
40001049,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,84.4
40001050,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,99.1
40001051,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,80.5
40001052,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,1.8
40001053,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,83.9
40001054,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,80.2
40001055,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,94.4
40001056,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,28.9
40001057,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,75.4
40001058,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,95.0
40001059,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,87.7
40001060,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,83.9
40001061,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,91.0
40001062,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,75.9
40001063,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,27.8
40001064,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,54.2
40001065,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,53.2
40001066,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,70.7
40001067,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,67.3
40001068,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,98.9
40001069,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,83.7
40001070,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,71.9
40001071,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,40.6
40001072,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,92.7
40001073,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,77.8
40001074,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,73.7
40001075,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,84.1
40001076,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,69.1
40001077,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,75.0
40001078,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,96.7
40001079,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,91.3
40001080,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,85.8
40001081,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,84.9
40001082,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,93.0
40001083,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,60.4
40001084,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,99.2
40001085,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,95.5
40001086,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,62.0
40001087,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,66.1
40001088,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,67.9
40001089,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,97.1
40001090,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,82.8
40001091,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,83.6
40001092,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,65.8
40001093,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,94.1
40001094,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,97.2
40001095,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,56.6
40001096,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,90.3
40001097,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,2.2
40001098,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,98.4
40001099,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,61.8
40001100,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,89.2
40001101,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,76.5
40001102,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,91.2
40001103,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,28.9
40001104,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,92.2
40001105,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,99.0
40001106,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,94.8
40001107,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,85.1
40001108,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,48.1
40001109,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,87.0
40001110,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,47.2
40001111,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,78.0
40001112,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,82.8
40001113,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,73.1
40001114,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,76.0
40001115,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,86.2
40001116,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,31.8
40001117,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,88.4
40001118,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,60.9
40001119,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,95.5
40001120,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,95.6
40001121,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,89.2
40001122,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,83.0
40001123,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,97.5
40001124,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,72.8
40001125,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,88.9
40001126,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,99.7
40001127,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,98.4
40001128,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,83.3
40001129,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,74.0
40001130,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,89.9
40001131,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,0.4
40001132,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,25.5
40001133,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,98.9
40001134,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,78.0
40001135,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,91.3
40001136,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,81.1
40001137,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,98.2
40001138,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,93.5
40001139,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,34.9
40001140,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,93.7
40001141,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,53.3
40001142,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,84.8
40001143,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,66.0
40001144,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,83.8
40001145,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,12.4
40001146,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,80.7
40001147,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,33.1
40001148,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,50.6
40001149,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,80.4
40001150,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,92.9
40001151,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,62.6
40001152,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,89.0
40001153,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,62.7
40001154,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,29.2
40001155,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,94.0
40001156,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,98.9
40001157,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,33.7
40001158,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,92.1
40001159,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,72.4
40001160,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,61.9
40001161,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,89.1
40001162,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,21.0
40001163,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,82.9
40001164,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,96.7
40001165,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,72.3
40001166,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,60.9
40001167,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,59.8
40001168,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,79.9
40001169,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,93.7
40001170,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,97.5
40001171,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,81.8
40001172,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,40.2
40001173,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,51.2
40001174,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,90.1
40001175,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,99.6
40001176,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,68.8
40001177,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,84.7
40001178,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,80.5
40001179,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,97.3
40001180,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,74.5
40001181,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,93.3
40001182,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,90.8
40001183,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,91.9
40001184,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,85.7
40001185,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,71.4
40001186,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,77.5
40001187,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,91.1
40001188,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,85.1
40001189,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,96.6
40001190,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,96.8
40001191,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,94.2
40001192,90000001A,charcoal,pastel light blue,15,regular,Trebuchet,5.25,22.5,78.75,left aligned,False,False,False,True,95.9
40001193,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,29.9
40001194,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,79.6
40001195,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,84.4
40001196,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,89.4
40001197,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,85.8
40001198,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,81.3
40001199,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,61.3
40001200,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,75.0
40001201,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,82.1
40001202,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,98.6
40001203,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,96.4
40001204,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,96.6
40001205,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,89.6
40001206,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,78.6
40001207,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,78.1
40001208,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,95.5
40001209,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,68.3
40001210,90000001D,matte black,light gray,13,regular,Open Sans,4.55,19.5,68.25,left aligned,False,False,False,True,95.2
40001211,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,65.8
40001212,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,94.4
40001213,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,78.7
40001214,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,6.4
40001215,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,88.8
40001216,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,87.9
40001217,90000002A,dark gray,eggshell,16,regular,Open Sans,1.92,28.0,2.56,left aligned,False,True,True,True,76.4
40001218,90000003A,nightrider,quartz,15,bold,Poppins,1.8,22.5,2.4,left aligned,False,False,False,True,68.0
40001219,90000001E,white,red,8,regular,Open Sans,2.55,7.5,30.25,left aligned,False,False,False,False,75.5
40001220,90000002B,midnight blue,ivory,12,regular,Lexend,1.44,21.0,1.92,left aligned,False,True,True,True,89.5
40001221,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,99.1
40001222,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,98.8
40001223,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,99.7
40001224,90000003C,charcoal,linen,24,regular,Century Gothic,2.88,36.0,3.84,left aligned,False,False,False,True,58.4
40001225,90000001C,onyx,light cream,12,regular,Century Gothic,4.2,18.0,63.0,left aligned,False,False,False,True,98.5
40001226,90000002C,charcoal,light gray,14,regular,Helvetica,1.68,24.5,2.24,left aligned,False,True,True,True,76.4
40001227,90000003D,green,yellow,10,regular,Century Gothic,1.88,15.0,1.84,left aligned,False,False,False,False,48.8
40001228,90000001B,licorice,pastel light yellow,14,regular,Tahoma,4.9,21.0,73.5,left aligned,False,False,False,True,87.0
40001229,90000002D,yellow,orange,9,regular,Helvetica,1.18,12.5,1.24,left aligned,False,False,False,False,22.9
40001230,90000003B,black russian,prim,18,regular,Source Sans Pro,2.16,27.0,2.88,left aligned,False,False,False,True,87.1
